タイトル,NOTES,PEAK,SCRATCH,SOF-LAN,CHARGE,CHORD,ノート数
Slipstream,79.31,80,42.2,0,32.03,52.58,0
MAX LOVE,78.61,68.56,42.17,0,0,73.44,0
L.F.O,70.23,75.7,42.16,0,1.39,50.38,0
garden,59.63,57.14,42.15,0,0,52.19,0
Around the Future,67.88,71.41,42.13,0,0,20.13,0
リリーゼと炎龍レーヴァテイン,107.06,95.71,42.08,0,42.96,88.02,0
B4U(BEMANI FOR YOU MIX),94.01,85.7,42.05,0,0,67.09,0
No Limit 2 dAnce feat. 大山愛未,64.36,57.13,41.98,0,0,30.29,0
Carmina,100.51,94.27,41.94,0,88.56,53.9,0
Hella Deep,42.99,45.7,41.91,13.56,4.67,24.45,0
T-REX vs Velociraptor (In the Far east euphoria),78.6,69.99,41.89,0,2.32,31.36,0
リグレット,65.3,69.99,41.82,0,0,70.17,0
"Next Tales 2 Oath (IIDX 20th Anniv ""Ring"" Theme)",69.17,78.56,41.65,0,0.45,40.74,0
Howling,60.89,54.27,41.5,0,0,29.54,0
Cleopatrysm,62.17,60,41.49,0,0,24.47,0
soldier's waltz,68.47,75.7,41.47,0,79.68,48.91,0
chaos eater -IIDX edition-,75.32,68.56,41.45,0,0,51.69,0
Hat Surprise (Season 2),77.53,65.71,41.38,0,0,40.56,0
Artist,102.16,87.14,41.31,0,25.53,41.16,0
Engraved Mark,61.06,65.7,41.31,0,0,11.7,0
Turii ～Panta rhei～,78.43,67.13,41.3,0,0,55.55,0
JOMANDA,99.57,81.41,41.28,163.87,1.39,63.83,1300
Lift Us High,61.87,59.99,41.28,0,0,23.76,0
BABY LOVE,68.94,65.71,41.23,0,0,47.9,0
AGEHA,71.74,78.56,41.19,0,0,57.29,0
GuNGNiR,103.84,95.7,41.14,0,4.2,25.75,0
Hitch Hiker2,55.4,52.85,41.09,0,0,27.05,0
LIKE A VAMPIRE,70.11,68.57,41.06,0,0,44.41,0
IX,100.09,92.85,40.93,0,36.38,70.77,0
GOLD RUSH,77.78,77.14,40.79,0,0,48.71,0
POODLE,77.48,65.7,40.74,0,0,75.89,0
TRANOID,97.73,75.71,40.61,46.28,0,54.56,0
HAERETICUS,91.37,100,40.59,0,0,57.08,0
Inferno of Fomalhaut,77.97,78.56,40.57,0,23.12,29.97,0
ラストセンチュリーメランコリック,62.71,68.56,40.57,0,13.11,23.99,0
HIGH,87.42,92.84,40.49,0,0,86.66,0
命の標本,69.43,81.41,40.39,0,0,48.9,0
On the FM,77.08,71.41,40.35,0,0.92,60.11,0
ICARUS,81.85,89.99,40.23,161.89,0,70.98,1097
BabeL ～Grand Story～,87.72,81.41,40.19,0,36.99,77.27,0
TECHNO Style Essentials,71.77,77.13,40.17,0,22.33,47.8,0
I Was The One (80's EUROBEAT STYLE),65.13,57.14,40.17,0,0,40.19,0
Fly you to the star,68.28,54.28,40.12,0,0,40.04,0
rage against usual,83.3,88.56,40.07,0,0,53.37,0
Sarutobi Champion is 拙者,74.07,68.56,40.01,31.36,0,31.66,0
GIGA VIOLATE,68.27,59.99,40,0,12.48,28.4,0
BAD BOY BASS!! (dj Remo-con MIX),56.78,62.84,39.98,0,0,13.85,0
M4K3 1T B0UNC3,87.22,78.57,39.94,0,42.58,71.87,0
FINALLY BLAZE,69.77,62.84,39.88,0,16.55,31.89,0
New Castle Legions,83.74,71.41,39.81,112.18,88.13,52.56,0
Override,65.94,58.57,39.78,0,0,32.72,0
CROSSROAD ～Left Story～,77.61,64.27,39.69,0,0,62.34,0
S!ck,63.49,55.71,39.49,0,4.2,11.42,0
Ancient Scapes,83.05,79.99,39.47,0,0,43.37,0
DISPARATE,82.31,67.13,39.45,0,0,39.82,0
夕焼け ～Fading Day～,90.27,82.84,39.44,0,0,43.18,0
Outbreak,72.14,64.28,39.44,0,0,65.39,0
EBONY & IVORY,85.84,80,39.34,0,0,50.22,0
fffff,105.06,92.83,39.33,0,0,68.1,0
perditus†paradisus,100.53,106.55,39.2,0,65.52,30.02,0
HADES,75.17,68.55,39.2,0,0,41.49,0
Candy Galy,103.49,91.41,39.18,0,0,72.37,0
CARRY ON NIGHT (English version),58.84,67.13,39.07,0,0,31.25,0
SHELTER OF THE MIND,74.82,67.14,39.01,0,0,30,0
Jetcoaster Windy,56.85,57.13,39.01,0,0,25.97,0
パラドキシカル・タイムリープトライアル(Short Ver.),80.59,71.42,38.86,0,0,43.69,0
涙のテ・エストラーニョ・ムーチョ,83.14,75.7,38.83,0,71.87,49.99,0
STARLIGHT JUNCTION,65.83,64.27,38.79,0,0,24.61,0
Be OK,72.77,61.41,38.79,0,0,38.83,0
スーパー戦湯ババンバーン,83.32,71.41,38.77,0,0,56.13,0
VALLIS-NERIA,80.5,85.7,38.69,0,91.43,72.64,0
KAMAITACHI,84.88,71.41,38.68,0,0,22.48,0
烽火連天の刃,94.64,79.99,38.65,0,152.04,74.96,1195
GRID KNIGHT,77.8,101.31,38.64,0,0,73.03,0
SCORE,68.29,55.7,38.59,0,0,52.28,0
Chrono Diver -PENDULUMs-,112.15,113.14,38.49,0,0,81.92,0
Rowdy,65.59,67.13,38.47,0,10.3,30.82,0
Chemical Cookie,69.65,62.84,38.45,0,0,41.76,0
Aurora,92.14,91.42,38.44,0,0,77.9,0
BRIGHTNESS DARKNESS,64.72,78.57,38.34,0,0,43.07,0
alla turca con passione,69.26,58.56,38.34,0,0,47.57,0
Programmed Sun,74.29,74.27,38.33,0,41.55,46.4,0
Love Me Do,70.43,61.41,38.32,0,0,52.39,0
Primitive Vibes,80.93,68.56,38.17,0,0.92,52.23,0
マチ子の唄,55.92,65.7,38.15,0,0,61.57,0
Broken My Heart,71.48,61.41,38.14,0,0,41.95,0
踊,38.06,34.27,38.09,0,0,13.59,0
Infinite cave,64.2,62.85,38.08,0,0,40.38,0
Session 9 -Chronicles-,99.54,92.84,38.06,23.49,0,79.67,0
MEGAERA,89.11,95.71,37.94,0,0,50.01,0
HAT TRICK,62.5,62.84,37.94,0,8.11,43.49,0
天空脳番長危機十六連打,93.61,90,37.92,0,0,47.23,0
ZEPHYRANTHES,74.14,72.85,37.8,0,0,38.58,0
太陽～T・A・I・Y・O～,63.75,65.71,37.8,0,0,37.6,0
She is my wife,67,72.84,37.78,7.15,0,43.66,0
Erosion Mark,67.91,64.28,37.67,0,0,28.22,0
PHASE SHIFT MANEUVER,69.4,72.84,37.65,0,19.52,15.61,0
FAKE TIME,86.01,106.57,37.61,0,0,57.46,0
NPC World,68.72,62.84,37.57,0,0,21.9,0
Colorful Cookie,96.6,84.27,37.56,0,0,101.76,0
GRADIUS 2012,65.86,59.99,37.54,0,67.92,47.42,0
GHOST,63.7,65.71,37.5,44.88,0,33.22,0
DIAMOND CROSSING,84.28,85.71,37.48,0,158.72,65.59,917
D.A.N.C.E.!,38.88,42.84,37.47,0,0,13.04,0
FUZIN RIZIN,79.52,67.14,37.35,0,0,58.73,0
DUAL STRIKER,100.52,79.99,37.27,0,23.11,74.77,0
狂水一華,72.08,58.57,37.25,0,0,32.22,0
I Love You,77.41,65.69,37.2,0,1.54,19.14,0
"satellite020712 from ""CODED ARMS""",84.99,85.7,37.17,0,0,56.42,0
Don't let it go,62.17,61.41,37.11,0,0,19.22,0
Zirkfied,80.08,87.13,37.04,0,0,39.76,0
memories,86.26,80.01,36.9,0,0,60.71,0
NANAIRO,78.94,68.57,36.9,0,0,51.58,0
KING,74.28,57.14,36.9,0,0,58.95,0
dual control,71.56,69.99,36.89,23.52,0,39.58,0
RIDE ON THE LIGHT (HI GREAT MIX),51.31,67.13,36.84,0,0,13.2,0
Chronos,61.44,72.84,36.83,0,72.44,25.48,0
ALL RIGHT,58.33,65.71,36.8,0,0,30.46,0
Dances with Snow Fairies,90.45,78.56,36.77,0,0,41.1,0
Why did you go away,74.78,62.85,36.76,0,0,53.46,0
GENOCIDE,111.05,101.31,36.67,0,0,58.45,0
Quick Silver,81.61,71.42,36.64,0,28.62,50.35,0
おーまい！らぶりー！すうぃーてぃ！だーりん！,80.52,65.71,36.63,0,0,28.19,0
double thrash,85.05,81.41,36.61,0,0,46.86,0
蒼い衝動,62.27,58.57,36.6,0,0,38.3,0
#The_Relentless,76.95,67.13,36.53,0,2.48,35.58,0
Elemental Creation,94.79,85.7,36.51,0,0,70.36,0
U.S.A.,76.99,70,36.45,0,2.95,46.37,0
Peng-Ging Sky High!!,62.22,47.13,36.45,0,0,41.63,0
Angel's Ladder,91.45,79.99,36.43,0,0,34.93,0
Queen's Tragedy,70.3,61.41,36.41,0,0,26.38,0
Raspberry Railgun,97.61,85.71,36.32,0,0,77.04,0
Make A Difference,69.1,71.41,36.3,0,0,50.57,0
Monopole.,71.9,72.85,36.25,0,35.77,41.51,0
Apocalypse ～dirge of swans～,70.27,77.13,36.13,0,0,41.61,0
Ou Legends,86.8,84.28,36.12,0,53.87,65.63,0
バビロニア,54.6,51.41,36.1,0,0,39.16,0
Glorious Days,33.37,41.41,36.08,47.75,0,22.67,0
Votania Beat,72.01,59.99,36.06,0,0,48.97,0
Super Freak,75.64,62.84,36.04,0,0,41.83,0
Welcome,70.9,79.99,35.96,0,0,80.76,0
MOON,84.97,72.84,35.96,0,0,77.5,0
Luna Plena,66.87,60,35.91,0,0,44.79,0
HIGH VOLTAGE,57.04,62.84,35.86,0,46.39,28.56,0
Last Message,68.51,57.13,35.86,0,0,33.69,0
Macho Gang,54.89,58.57,35.75,0,0,29.26,0
Love Magic,73.11,95.7,35.7,0,0,68.89,0
ALBIDA,86.98,81.41,35.65,0,0,55.68,0
Fantasia,72.1,58.56,35.64,0,0,56.3,0
GIGANT,56.33,45.7,35.5,0,23.11,18.96,0
QUANTUM TELEPORTATION,90.95,95.7,35.41,0,0,60.1,0
Rock Da House,76.6,64.27,35.39,0,0,41.92,0
Lethal Weapon,77.64,68.57,35.31,76.64,0.92,57.21,0
rottel-the-Mercury,84.7,88.56,35.23,0,0,87.2,0
抱きしめてモナムール,87.05,85.7,35.19,0,9.21,52.91,0
First Resolution,70.79,61.41,35.1,0,0,47.69,0
That Feeling,51.38,54.27,35.1,0,22.8,14.44,0
SOUND OF GIALLARHORN,102.53,82.85,35.09,0,0,102.41,0
ChaserXX,76.66,65.7,35.05,0,0,24.69,0
Get'em up to R.A.V.E,66.04,58.56,35.05,0,0,31.88,0
DUE TOMORROW,76.03,92.84,35.01,19.78,0,9.78,0
紅牡丹,85.85,72.84,35.01,0,0,53.37,0
華爛漫 -Flowers-,74,68.57,34.86,0,0,49.95,0
[ ]DENTITY,82.08,78.57,34.65,0,51.25,66.62,0
Night! Night! Night!,75.03,64.28,34.63,0,0,19.48,0
Burning Heat! (Full Option Mix),42.65,48.56,34.6,0,0,13.34,0
合体せよ！ストロングイェーガー！！ (Ryu☆ remix),67.23,75.7,34.58,0,0,54.95,0
冥,83.58,82.84,34.52,158.43,0,25.72,1111
少年は空を辿る,83.95,84.27,34.51,0,11.55,51.8,0
Scripted Connection⇒ H mix,90.71,84.28,34.31,0,0,32.76,0
GHOST REVIVAL,82.35,72.84,34.31,0,0,21.08,0
Skyscraper,62.26,59.99,34.2,0,0,26.23,0
Boomy and The Boost,81.38,78.56,34.14,0,8.27,51.48,0
CaptivAte～裁き～,63.3,74.28,34.09,0,0,29.27,0
BLUE STRAGGLER,65.86,61.42,34.04,0,0,20.3,0
煉獄のエルフェリア,95.15,92.84,34.03,0,0,96.44,0
Spica,68.11,74.28,34.03,0,0,28.26,0
セロトニン,77.49,72.84,33.97,0,13.89,42.6,0
UNDERWORLD HOLOGRAPHY,82.57,67.14,33.93,0,0,34.47,0
rommmo,77.27,77.14,33.91,0,0,52.91,0
DIVE ～INTO YOUR HEART～,75.72,68.56,33.86,0,0,63.39,0
STILL IN MY HEART,69.66,67.14,33.83,0,0,28.01,0
ECHIDNA,90.45,92.84,33.8,0,117.59,42.91,0
Devilz Sacrifice -贖罪の羊-,84,75.7,33.67,0,4.2,56.19,0
Flip Flap,60.43,52.85,33.67,0,0,45.33,0
bit mania,53.98,54.27,33.64,0,0,55.22,0
Rewind Time,53.28,44.27,33.63,0,0,21.57,0
Best of Me,64.34,57.13,33.56,0,0,40.79,0
Lighting Shower,66.56,58.56,33.53,0,0,24.68,0
Digital MinD(A/T Libra mix),51.99,52.84,33.53,0,0,14.15,0
Raspberry Heart(English version),73.35,77.13,33.52,0,0,47.95,0
Sorrows,72.09,67.14,33.44,0,0,69.03,0
Last Burning,67.57,55.71,33.4,0,0,11.64,0
switch,75.46,69.99,33.39,0,0,48.92,0
Hypersonik,68.21,67.14,33.39,0,0,55.59,0
reunion,99.59,102.63,33.37,0,0,80.39,0
Ubertreffen,99.2,77.13,33.33,0,0,24.31,0
Believe In Me,78.58,84.28,33.32,0,0,65.5,0
Grand Chariot,77.93,74.27,33.29,0,5.63,40.19,0
Neonlights,68.96,64.28,33.28,0,0,37.29,0
不沈艦CANDY,81.12,75.71,33.21,0,0,57.81,0
伐折羅-vajra-,88.12,78.56,33.13,0,0,40.37,0
Honey Trap,65.5,59.99,33.09,0,0,33.37,0
Tiempo Loco,80.96,71.41,33.05,0,9.83,22.95,0
FEEL IT,78.9,121.05,33,0,0,60.97,0
SYNC-ANTHEM,99.73,85.7,32.93,22.75,0,79.18,0
Blue Bird feat. Kanae Asaba,44.65,44.27,32.93,0,0,27.11,0
Round and Round,48.46,51.42,32.92,0,0,22.6,0
beatchic☆仮面～好き、でいさせて～,68.68,60,32.91,0,0,36.05,0
大桟橋,48.02,55.7,32.91,11.7,0,10.88,0
Neo Heritage,68.6,65.7,32.88,0,0,29.05,0
LIGHTNING STRIKES,72.69,70,32.86,0,3.42,34.28,0
dica dica,99.3,78.57,32.85,0,0,39.02,0
So Punky,68.37,57.13,32.85,0,0,48.5,0
SPACE FIGHT,69.21,72.84,32.82,0,0,47.72,0
おとせサンダー,57.65,48.57,32.78,0,0,32.49,0
I know You know,49.18,41.41,32.73,0,0,20.16,0
刃図羅,81.03,84.28,32.72,0,0,53.43,0
湘南ロンリーMIDNIGHT RAIN,71.12,62.84,32.72,0,0,64.59,0
かずあそび,49,45.7,32.72,0,4.83,28.82,0
xenon,79.36,64.27,32.67,0,0,18.98,0
RISLIM -Remix-,46.41,52.85,32.61,0,0,24.42,0
月光,75.96,65.7,32.58,0,0,48.32,0
Summerlights(IIDX Edition),77.08,72.84,32.54,0,57.89,77.08,0
STELLAR WIND,79.65,75.7,32.53,0,0,40.05,0
ユミル,56.1,52.84,32.52,0,0,40.83,0
EMOTiON TRiPPER,64.2,57.13,32.47,0,21.86,44.31,0
SOLID STATE SQUAD -RISEN RELIC REMIX-,90.32,103.93,32.42,0,80.41,72.79,0
〆,91.6,78.56,32.41,0,0.45,83.12,0
Tizona d'El Cid,78.01,77.13,32.39,0,0,56.59,0
One More Lovely,73.87,74.28,32.34,0,0,55.89,0
嘆きの樹,99.66,101.31,32.3,0,0,77.63,0
DARK LEGACY,83.7,102.63,32.28,0,0,100.95,0
Release The Music,58.44,57.13,32.21,0,0,28.93,0
CUE CUE RESCUE,78.52,72.84,32.18,0,0,43,0
Never Fade Away,72.8,72.84,32.16,0,0,40.11,0
恋する☆宇宙戦争っ！！,68.36,62.84,32.14,0,0,47.23,0
アストライアの双皿,87.27,75.71,32.08,0,71.67,39.41,0
Thunderbolt,77.99,62.84,32.04,0,0,35.04,0
innocent revolver,93.95,80,32.01,0,0,66.05,0
Freeway Shuffle,62.09,57.14,32.01,0,0,16.07,0
Unicorn tail,74.11,78.57,32,0,0,51.81,0
ビューティフルレシート,56.81,60,31.98,0,0,31.61,0
diagram,49.9,50,31.94,0,0,24.08,0
眠りの国のステラ,75.33,67.14,31.91,0,55.58,41.9,0
No.13,113.74,101.31,31.9,0,0,62.2,0
DENIM,83.77,68.56,31.87,0,0,33.16,0
Vitrum,71.95,60,31.85,0,30.19,27.34,0
華麗なる大犬円舞曲,84.72,84.28,31.84,98.44,0,38.56,0
RED ZONE,88.79,69.99,31.84,0,0,41.19,0
Ascalon,76.65,71.41,31.8,0,0,51.97,0
海神,82.82,77.14,31.73,0,78.09,57.71,0
Kung-fu Empire,97.89,82.84,31.7,0,0,91.56,0
Answer,58.12,59.99,31.7,0,0,49.61,0
高高度降下低高度開傘,66.15,64.28,31.63,0,0,19.38,0
ALIEN TEMPLE,66.25,59.99,31.63,0,0,50.48,0
ROCK女 feat. 大山愛未， Ken,77.97,79.99,31.55,0,31.7,17.1,0
麗 ～うらら～,72.36,65.7,31.52,0,0,40.36,0
THE CANNONBALLER,90.34,75.7,31.41,0,0,46.09,0
50th Memorial Songs -The BEMANI History-,70.55,64.27,31.4,0,3.89,34.85,0
SABER WING,87.19,78.56,31.35,159.78,0,78.49,952
Raison d'etre～交差する宿命～,89.36,82.84,31.33,5.54,0,38.91,0
中華急行,75.21,67.13,31.3,0,0,51.71,0
∀,93.85,82.84,31.29,0,3.75,60.9,0
STULTI,77.54,81.41,31.27,83.03,0,53.24,0
Matt Silver,87.14,71.41,31.27,0,0,27.42,0
Rave Patroller,92.38,84.28,31.12,0,0,77.43,0
Aftermath,89.78,78.56,31.1,0,60.75,81.44,0
ANAGMA,71.73,65.71,31.07,0,0,40.43,0
Take It Easy,95.3,92.85,31.06,0,0,90.94,0
Geirskogul,62.65,67.13,31.06,0,27.8,41.65,0
V2,121.05,113.14,31.01,0,0,115.2,0
Rising in the Sun(original mix),70.57,65.71,30.94,0,67.62,28.66,0
Air Bell,60.73,60,30.91,0,0,33.65,0
INSOMNIA,76.47,75.71,30.87,0,0,49.09,0
abstract,74.9,65.71,30.86,0,0,32.82,0
Lost Souls,77.09,65.7,30.79,0,0,19.02,0
Ypsilon,74.12,65.7,30.75,0,0,26.12,0
TYPE MARS(G-Style Mix),79.07,85.71,30.74,0,0,17.98,0
Valanga,96.93,88.56,30.72,0,84.51,78.69,0
Hurry Hurry,45.31,44.27,30.69,0,0,20.5,0
Jam&Marmalade,60.02,52.84,30.68,0,0,20.02,0
錬成人間トリコロイダー,75.37,68.56,30.67,0,0,71.8,0
Keep it-秋葉工房mix-,74.4,77.14,30.63,0,0,28.17,0
ALL MY TURN -このターンに、オレの全てを賭ける-,78.39,88.56,30.59,0,0,39.95,0
Highcharge Divolt,76.04,77.14,30.53,0,38.89,35.31,0
DXY!,90.04,95.7,30.49,0,0,51.72,0
The Story Begins,69.11,72.84,30.47,0,0,55.44,0
《ORDERBREAKER》,66.57,64.27,30.34,0,35.77,40.36,0
Almace,61.01,58.57,30.3,0,24.05,43.44,0
Punch Love 仮面,71,75.71,30.28,0,0,50.63,0
Little Little Princess,87.44,77.13,30.19,28.93,0,59.71,0
爆ゼニ☆がってんワーカー,79.09,75.7,30.16,0,0,43.01,0
Amazing Mirage,72.56,65.7,30.15,0,16.06,33.98,0
Second Heaven,63.86,81.41,30.14,0,0,47.59,0
最小三倍完全数,82.76,78.57,30.11,0,1.55,60.31,0
Timepiece phase II (CN Ver.),92.31,90,30.01,0,174.23,52.9,1008
BEAUTIFUL ANGEL,74.38,65.7,29.99,0,0,60.38,0
MAGIC & LOVE,79.09,71.41,29.96,0,0,42.98,0
Time To Empress,82.54,67.14,29.96,0,0,62.34,0
Summer Vacation(CU mix),88.67,88.56,29.94,0,0,46.05,0
お菓子の王国,90.62,89.99,29.92,0,0,41.66,0
EURO-ROMANCE,72.17,71.41,29.86,0,0,59.93,0
Hydrogen Blueback,75.15,68.56,29.84,0,0,51.94,0
めいさいアイドル☆あいむちゃん♪,94.65,81.42,29.82,0,0,66.66,0
Angelic Jelly,86.43,71.41,29.75,0,0,71.02,0
革命,91.02,67.13,29.72,104.39,0,10.42,0
Rejection Girl,67.39,64.28,29.66,0,12.81,39.92,0
lower world,73.78,74.28,29.64,0,0,41.57,0
In The Breeze,55.52,55.7,29.61,23.56,0,33.19,0
サヨナラ・ヘヴン,56.4,60,29.55,0,0,34.35,0
kors k's How to make OTOGE CORE,60.66,74.27,29.52,107.68,7.49,58.99,0
Roots of my way!,51.24,55.7,29.51,0,0,34.35,0
examination leave,85.59,71.41,29.5,0,0,74.66,0
突撃!ガラスのニーソ姫!,52.01,49.99,29.44,0,0,32.57,0
Realize Maze,80.25,69.99,29.39,0,0,56.04,0
I,96.02,88.57,29.37,0,68.78,71.3,0
GIGA RAID,76.67,65.71,29.36,0,11.24,50.42,0
DRUNK MONKY,98.67,78.56,29.33,0,0,61.44,0
Thor's Hammer,88.06,92.85,29.18,0,0,27.49,0
V,99.91,105.25,29.16,0,0,77.1,0
Musik LoverZ,58.97,57.13,29.15,0,0,27.17,0
Holic,71.02,71.41,29.01,0,0,40.95,0
SA.YO.NA.RA. SUPER STAR,55.54,65.71,28.98,73.98,0.92,36.47,0
crew,67.63,58.57,28.94,0,0,52.98,0
ウツシミウツシ,83.31,72.84,28.92,0,0,48.49,0
SPEEDY CAT,72.68,65.71,28.89,0,0,32.76,0
Breaking the ground,64.84,65.7,28.89,0,0,66.24,0
狂イ咲ケ焔ノ華,94.91,82.83,28.87,0,0,59.5,0
ピアノ協奏曲第１番”蠍火”,84.52,109.21,28.81,150.45,0,53.49,0
XENON II ～TOMOYUKIの野望～,78.67,71.41,28.81,0,42.18,16.52,0
LOVE AGAIN TONIGHT～for Mellisa mix～,50.73,47.14,28.76,0,0,29.24,0
Sweet Clapper,51.2,51.42,28.73,0,0,42.76,0
GRAVITON,85.42,74.27,28.71,0,0,50.52,0
Garuda,80.93,67.13,28.7,0,3.89,48.58,0
quick master (reform version),19.43,31.41,28.64,0,0,7.83,0
GREEN EYES,69.17,74.27,28.63,0,0,23.62,0
"Hands Up feat. kradness BEMANI Sound Team ""Sota Fujimori"" Remix",75.77,68.57,28.63,0,0,61.97,0
HYPERION,84.21,72.85,28.61,0,0,23.47,0
Proof of the existence,83.32,89.99,28.59,0,0,65.79,0
Marie Antoinette,78.31,77.13,28.58,60,0,66.07,0
Boundary,81.04,79.99,28.57,0,0,85.13,0
Triple Cross,95.74,81.41,28.56,0,74.05,73.9,0
stoic,106.5,84.28,28.55,0,0,64.14,0
梅雪夜,69.14,69.99,28.53,0,0,41.54,0
Damage Per Second,61.06,58.56,28.49,0,7.33,24.05,0
Arkadia,87.01,77.14,28.41,0,0,50.08,0
きゅんです。,65.61,58.56,28.39,0,0,43.68,0
50th Memorial Songs -Beginning Story-,65.7,54.27,28.28,0,38.97,29.64,0
N.O.,59.55,58.57,28.23,0,5.14,13.36,0
ドッキン☆サマーあばんちゅーる,71.7,65.7,28.21,0,0,56.18,0
Gravigazer,85.03,82.84,28.2,0,0,46.82,0
Cradle,65.99,78.57,28.15,26.72,0,54.08,0
3V0,73.2,75.7,28.12,0,1.39,53.7,0
Breakin' Chain,53.73,58.56,28.08,0,2.64,28.74,0
Yum Yum Jelly,69.93,74.27,28.05,0,26.86,34.13,0
neu,82.71,95.7,27.95,0,0,76.5,0
いつかオトナになれるといいね。,76.89,61.41,27.88,0,0,58.28,0
Schlagwerk,68.56,60.01,27.88,0,0,28.49,0
DAY DREAM,74.79,81.42,27.84,140.98,0,35.18,0
Scripted Connection⇒ A mix,91.92,88.57,27.82,0,0,39.29,0
LAST DAY,71.99,60,27.78,0,0,17.44,0
Perfect Plan,68.16,71.41,27.76,0,95.55,50.59,0
NEW SENSATION -もう、あなたしか見えない-,84.56,72.84,27.69,0,59.99,56.49,0
Divine Heaven,78.01,68.56,27.67,0,51.97,60.67,0
ぐだふわエブリデー,72,57.13,27.6,0,0,23.95,0
Karma,72.15,78.57,27.57,0,0,48.46,0
追想快晴テーマパーク,86.7,77.14,27.56,0,0,69.22,0
EXE,72.78,64.27,27.5,0,0,35.7,0
Won(*3*)Chu KissMe!,59.41,52.84,27.46,0,0,18.89,0
Daily Lunch Special,84.35,71.42,27.4,0,65.79,59.69,0
thunder HOUSE NATION Remix,68.46,58.57,27.37,0,0,43.49,0
Xepher,90.59,89.99,27.32,0,0,54.89,0
Konzert V,93.99,80,27.25,0,0,44.72,0
G2,76.51,68.57,27.21,0,0,36.01,0
Don't be afraid myself,77.94,74.28,27.2,0,0,41.79,0
We are Disっ娘よっつ打ち命,39.71,39.99,27.16,0,0,14.68,0
キャトられ恋はモ～モク,97.36,95.71,27.13,0,0,64.56,0
Roulette,61.3,58.56,27.11,0,0,18.51,0
Snakey Kung-fu,84.2,72.85,27.07,0,22.33,36.8,0
楽園追放,68.77,59.99,27.06,0,0,45.71,0
BEMANI PRO LEAGUE Theme,57.3,52.84,26.96,0,0,28.42,0
minimalian,58.65,68.56,26.95,0,0,26.9,0
bass 2 bass,62.09,52.84,26.94,0,0,38.37,0
Brahma,74.46,69.99,26.92,0,0,27.3,0
恋は白帯、サンシロー,53.32,54.27,26.9,0,0,28.66,0
Programmed Genom,64.87,64.27,26.89,0,0,23.06,0
子供の落書き帳,104.43,91.42,26.88,0,0,82.65,0
Arabian Rave Night,93.18,90,26.77,0,0,54.58,0
HYENA,83.82,107.89,26.76,0,0,45.43,0
"Anisakis -somatic mutation type""Forza""-",76.9,87.13,26.75,0,0,50.86,0
旋律のドグマ～Miserables～,89.79,75.7,26.75,0,1.86,75.98,0
HOT LIMIT,69.52,58.56,26.75,0,0,51.14,0
GIGA THRASH,77.44,67.13,26.74,0,13.89,33.42,0
Parvati,76.41,68.57,26.64,0,0,38.8,0
symbolic,77.25,77.14,26.61,0,0,38.64,0
(This Is Not) The Angels,61.3,55.71,26.58,153.77,0,33.88,776
IN THE NAME OF LOVE,66.85,61.42,26.44,0,0,20.03,0
four-leaf,59.66,60,26.4,0,0,13.24,0
KAISER PHOENIX,113.57,98.57,26.32,0,0,91.77,0
CONNECT-,78.21,65.7,26.28,0,0,39.92,0
BOOM BOOM DISCO NIGHT,75.16,71.41,26.26,0,0,24.06,0
Attitude,57.69,71.41,26.22,0,0,43.36,0
ちょえちょえまぎか,94.68,71.41,26.18,0,0,72.18,0
GET UP AGAIN,73.17,64.27,26.15,0,47.97,46.57,0
Freezing atmosphere,50.01,54.27,26.15,0,0,18.39,0
moon_child,80.06,100,26.14,35.62,0,48.14,0
Dark Fall,70.42,69.99,26.13,0,54.75,10.68,0
Sphere,89.16,88.56,26.08,0,0,63.49,0
VEGA,86.23,77.14,26.04,0,0.45,75.1,0
CAN'T STOP FALLIN'IN LOVE,64.53,65.71,26.03,0,0,32.96,0
Unbelief,86.42,82.84,26.02,0,104.37,45.8,0
真夏の花・真夏の夢,50.03,52.85,25.98,0,0,23.82,0
scar in the earth,42.8,51.41,25.94,0,0,38.21,0
GAIA,90.84,106.57,25.91,0,0,36.02,0
DoLL,53,54.27,25.9,0,0,29.27,0
beatAffection,57.43,52.84,25.88,0,3.74,25.66,0
Chewingood!!!,62.83,57.14,25.85,0,0,31.24,0
Godspeed,88.85,78.56,25.83,0,79.5,52.22,0
Derelict Star feat. Ryu*,78.76,75.71,25.83,0,6.7,71.71,0
Giudecca,85.76,78.56,25.82,0,0,16.7,0
Discloze,70.25,61.41,25.82,59.28,14.99,44.41,0
月と夢の跡 ft. マナ,61.41,61.41,25.8,0,0,34.4,0
シル・ヴ・プレジデント,63.66,51.41,25.8,0,0,33.59,0
Claiomh Solais,59.41,54.28,25.74,0,0,60.82,0
忍恋花,80.63,72.84,25.73,0,0,42.36,0
IXION,71.7,71.42,25.73,0,0,31.39,0
Twelfth Style,61.07,59.99,25.73,0,0,26.49,0
水無月の雫 ft. 小林まな,72.87,60,25.72,0,0,44.93,0
Romanticが止まらない,74.81,58.56,25.71,0,0,59,0
Sparkle Smilin',65.01,54.28,25.68,0,19.99,33.18,0
ディスコルディア,98.41,87.13,25.66,71.04,101.47,72.83,0
DEEP ROAR,60.77,64.27,25.61,0,0,32.52,0
Abraxas,67.31,62.84,25.56,0,22.8,20.88,0
Surf on the Light,60.5,54.28,25.52,74.5,3.89,38.66,0
